Result,ST1,ST2
0,-3,13
1,5,9
0,-2,12
1,4,8
0,5,10
0,-3,8
0,3,13
1,3,8
0,-2,10
1,-3,9
0,-3,9
1,5,13
0,-2,9
0,-3,12
1,-1,8
1,2,5
0,-3,10
0,3,9
0,-2,12
1,4,10
0,5,10
0,-2,8
1,2,8
1,5,10
1,2,7
0,-2,13
1,-2,10
1,-4,13
0,-1,9
0,-2,8
0,-2,12
1,3,10
0,-2,10
0,1,10
1,-1,10
1,-2,9
0,1,10
1,-2,10
1,-2,9
1,2,9
1,4,13
1,2,8
1,3,13
1,1,9
0,-2,10
1,2,12
1,2,10
1,5,7
0,1,9
1,4,7
1,3,13
1,1,9
0,1,10
0,-3,8
0,-1,13
1,1,7
0,-3,12
1,2,13
0,1,13
1,1,9
0,-2,10
0,-1,12
1,1,6
0,-6,10
0,-1,10
1,4,9
1,2,10
0,-1,10
1,3,13
0,3,13
1,3,9
0,-1,12
1,2,13
0,2,13
0,-2,9
1,1,10
1,2,9
0,-2,10
1,2,7
0,-4,7
0,-1,9
0,2,13
1,1,10
0,-2,9
1,1,7
0,-2,13
1,4,8
1,-2,9
1,-1,13
0,-3,9
1,1,10
0,-5,7
0,-2,8
0,-1,12
1,4,10
0,-3,9
1,2,10
1,-4,12
0,-4,13
1,2,8
1,-3,10
1,2,8
0,-4,8
1,1,10
1,6,13
1,1,10
0,-4,7
0,-3,9
0,-2,7
1,5,8
0,-3,6
1,3,13
0,1,12
1,4,8
0,-3,12
1,5,8
1,3,9
1,1,12
1,-4,10
1,5,10
0,-3,10
1,-3,13
0,-3,13
1,1,9
0,-3,8
1,4,7
1,-4,8
0,-6,7
0,-2,9
1,3,10
1,3,8
1,6,6
0,-2,10
0,-2,9
0,-4,13
1,4,8
0,-3,6
1,2,7
0,-1,13
1,3,8
1,4,6
1,2,10
0,-3,7
0,-2,9
1,-4,10
0,-3,7
0,-2,7
0,-4,7
1,3,6
0,-4,13
0,-1,9
1,4,8
1,6,8
1,4,10
0,-1,9
1,4,7
1,5,8
0,-4,13
1,2,10
0,-4,9
0,-2,13
1,4,10
0,4,9
0,-6,7
1,3,8
1,2,10
0,-2,12
0,-3,10
1,-2,7
0,-2,8
0,-3,10
1,6,12
1,6,13
0,-5,10
0,-1,10
0,-4,8
0,2,10
1,2,10
1,1,9
0,3,13
1,3,9
1,3,9
1,-1,7
0,-1,10
0,-5,10
0,-1,8
1,5,8
0,-3,9
1,4,6
0,-5,8
1,1,7
1,3,6
1,4,13
1,2,8
1,6,13
0,1,9
1,4,12
1,-4,8
1,2,8
0,-5,7
1,3,10
1,-2,9
1,4,6
1,2,9
0,-2,6
0,2,6
1,1,9
0,-6,7
1,3,10
1,-3,10
1,6,12
0,-4,8
1,3,9
0,-6,7
1,-3,8
0,-2,12
0,-5,10
1,3,9
0,1,10
0,-4,10
1,4,8
1,-5,13
1,2,10
1,3,10
1,5,12
1,2,12
0,-5,10
0,-5,6
1,-2,8
1,-2,12
1,2,10
0,2,9
0,1,8
1,4,6
0,-5,10
0,-2,8
1,-3,10
1,5,9
0,-3,8
0,2,12
1,4,8
0,-3,6
1,5,12
0,-4,10
1,5,8
1,1,6
0,-4,8
1,3,9
1,3,9
1,1,9
0,-3,10
1,4,12
0,-3,8
1,-3,7
0,-5,8
0,-1,13
1,2,8
0,2,10
0,-2,8
1,3,10
1,2,10
1,4,8
0,-2,9
0,-2,9
1,5,9
0,-2,8
0,-3,12
0,-1,8
0,-2,10
1,4,7
0,2,10
0,-4,10
1,4,8
1,-1,10
0,-3,8
1,2,9
1,5,13
0,-1,10
0,-5,10
1,3,13
0,-3,10
0,2,9
0,-1,12
0,-2,13
0,-1,10
1,2,9
0,-3,8
1,5,10
1,2,12
1,-3,13
0,-3,12
0,-3,10
1,-3,9
1,-2,13
1,4,9
1,-1,7
1,-2,10
0,-3,10
0,-3,10
1,4,8
1,1,7
0,-1,7
0,-2,10
0,-2,13
0,-1,10
0,-2,1
0,-5,13
0,2,10
1,1,10
0,-4,7
1,1,12
0,-2,12
1,-1,7
0,-2,8
0,2,13
0,-5,12
1,1,10
0,-4,7
1,-3,9
0,1,7
1,2,9
0,-4,10
1,6,13
0,1,10
1,-1,10
0,-3,9
0,-2,12
0,-2,10
1,4,13
0,-5,12
1,1,8
0,-4,13
1,-2,9
0,-1,7
1,3,13
0,2,13
1,1,8
0,-2,12
0,-5,13
1,4,6
0,-3,10
1,-4,9
1,1,10
1,5,8
0,-5,12
0,-2,13
0,-1,6
0,4,13
0,-2,10
1,3,13
0,-3,13
1,1,10
1,2,10
0,2,13
0,-6,13
1,4,8
0,-5,10
1,3,9
0,-3,7
1,-1,9
1,-1,10
1,2,7
1,5,7
1,-2,9
1,2,9
0,-4,7
1,4,9
1,3,13
1,5,13
0,-2,9
1,3,8
0,-4,7
1,5,13
1,2,7
0,-2,9
1,3,6
1,5,10
0,-6,8
1,6,12
0,2,12
1,2,13
1,1,9
1,1,8
1,2,8
1,3,10
0,-5,10
0,-4,7
0,4,10
0,-6,13
0,-4,6
1,1,10
0,-6,7
1,2,8
1,2,8
0,-1,8
0,-6,9
0,-3,10
1,2,7
0,-4,9
1,4,12
1,3,10
0,3,8
0,-3,10
1,3,8
0,3,12
0,-5,9
1,1,10
0,-1,6
1,2,7
1,3,10
1,5,7
0,-1,8
1,1,8
0,-3,10
1,5,8
1,2,8
0,-6,7
0,-3,8
1,3,8
0,-3,6
1,-2,10
1,-2,13
0,2,12
0,-3,10
1,6,7
0,-4,6
0,-3,7
0,-5,9
0,-4,8
0,-2,9
1,3,6
0,-2,8
1,2,9
0,-2,9
1,5,9
1,5,10
1,1,12
1,2,13
0,2,9
1,2,6
0,3,10
1,2,13
0,2,8
1,3,9
1,3,8
0,-4,8
1,1,7
0,5,8
0,-1,9
0,-2,10
0,-2,8
0,-5,10
1,5,8
0,-5,12
0,-2,13
1,-3,9
0,-5,13
0,2,9
0,-4,7
0,-1,12
1,-2,7
0,-6,10
0,-2,12
0,-3,8
1,3,10
0,-2,13
0,-2,13
0,-5,8
1,6,8
0,-2,9
0,-6,8
0,-3,6
0,-2,10
1,4,10
1,2,10
1,5,9
0,6,10
0,-1,8
0,-2,13
1,5,9
0,-5,8
1,6,7
1,2,10
1,3,10
1,3,9
0,-1,9
0,-2,10
1,-1,8
0,1,8
0,-1,9
0,-3,13
0,3,9
1,2,13
1,3,8
0,-2,9
1,3,13
0,-1,9
0,-3,9
1,2,10
0,-3,12
0,-3,10
0,-2,8
1,5,8
1,3,9
0,-2,12
1,-3,9
1,2,10
1,2,13
1,5,6
1,2,8
1,-1,10
1,3,7
1,2,12
0,-2,10
0,-4,8
0,-5,10
1,2,10
0,-3,13
0,-2,10
1,1,9
1,3,8
0,-3,9
0,2,10
0,-1,10
1,6,8
0,-5,8
0,-3,8
0,-5,9
1,-2,9
0,-2,8
1,-3,8
0,-5,9
1,5,8
0,-4,10
0,-2,10
0,-2,9
0,-1,8
1,3,10
0,-3,13
1,4,10
0,-1,10
1,3,9
0,2,7
1,1,9
0,1,9
1,2,9
0,-2,10
1,3,12
0,-1,2
1,2,13
0,-5,8
0,-1,7
0,-2,10
0,-2,10
0,-3,13
1,3,8
1,1,13
1,2,10
0,5,9
1,2,8
0,-3,8
1,5,10
0,-4,7
1,1,8
0,5,9
0,3,13
1,-3,10
1,3,10
0,-2,7
1,3,10
1,2,12
1,2,7
0,-2,9
1,1,10
0,-2,8
1,2,13
1,4,8
1,2,9
0,-1,13
1,3,8
0,1,10
0,3,13
0,-2,9
1,3,6
1,1,7
0,-2,9
0,-2,9
1,6,8
0,-2,10
0,-3,8
0,-3,13
1,1,8
0,-3,10
1,3,8
0,-6,9
1,-1,13
0,-1,9
0,-1,9
0,1,10
1,3,9
1,-1,7
1,-3,7
1,3,7
0,-6,8
1,3,8
0,-2,9
1,-4,13
0,-2,13
0,-4,9
