Result,ST1.1,ST2.1,ST1.2,ST2.2,ACE.1,ACE.2,TPW.1,TPW.2,Gender
0,3,6,6,7,5,10,70,101,0
1,6,6,1,3,13,1,80,42,0
0,4,5,6,7,8,9,106,126,0
1,6,6,2,2,8,1,104,79,0
0,6,4,1,6,0,17,128,127,0
0,3,2,6,6,9,24,108,122,0
0,6,6,3,7,5,2,173,173,0
1,6,6,3,2,3,0,78,61,0
0,5,4,7,6,3,12,67,94,0
1,3,6,6,3,6,8,162,141,0
0,3,6,6,3,7,16,126,152,0
1,6,6,1,7,13,11,177,152,0
0,4,3,6,6,16,6,74,94,0
0,3,5,6,7,7,7,137,131,0
1,6,6,7,2,4,2,151,128,0
1,6,4,4,1,4,0,54,37,0
0,3,4,6,6,2,2,75,96,0
0,6,3,3,6,21,3,129,142,0
0,5,5,7,7,10,7,91,114,0
1,6,6,2,4,9,9,94,80,0
0,6,6,1,4,13,18,140,153,0
0,4,2,6,6,2,2,77,97,0
1,6,6,4,2,6,1,101,78,0
1,6,6,1,4,5,2,95,66,0
1,7,5,5,2,7,4,65,55,0
0,4,6,6,7,9,6,150,163,0
1,5,6,7,4,20,8,148,133,0
1,2,6,6,7,21,16,154,154,0
0,6,3,7,6,25,8,93,108,0
0,4,2,6,6,2,4,55,95,0
0,5,5,7,7,3,19,125,134,0
1,6,6,3,4,9,8,97,67,0
0,4,4,6,6,13,11,74,96,0
0,7,6,6,4,5,10,104,121,0
1,6,6,7,4,5,14,133,112,0
1,5,6,7,3,20,7,125,101,0
0,7,4,6,6,41,32,231,230,0
1,4,4,6,6,22,13,145,124,0
1,4,6,6,3,8,4,98,93,0
1,7,6,5,3,15,2,104,77,0
1,6,7,2,6,9,10,71,52,0
1,6,6,4,2,6,4,108,86,0
1,6,7,3,6,15,11,104,85,0
1,7,6,6,3,4,16,104,74,0
0,4,4,6,6,6,12,89,110,0
1,6,7,4,5,9,10,95,74,0
1,7,4,5,6,18,11,173,158,0
1,6,6,1,1,12,6,84,49,0
0,7,3,6,6,29,16,107,122,0
1,6,6,2,1,1,8,95,55,0
1,6,6,3,7,34,12,133,114,0
1,7,6,6,3,24,12,117,97,0
0,7,4,6,6,10,14,105,133,0
0,3,2,6,6,1,9,76,101,0
0,6,6,7,7,8,9,103,121,0
1,7,6,6,1,21,5,127,96,0
0,3,7,6,5,14,6,147,167,0
1,6,7,4,6,7,2,141,126,0
0,7,6,6,7,11,0,106,124,0
1,7,6,6,3,17,23,175,178,0
0,4,4,6,6,2,9,76,95,0
0,6,7,7,5,6,16,138,146,0
1,7,0,6,6,8,20,135,135,0
0,0,4,6,6,3,12,59,93,0
0,6,6,7,4,5,14,106,127,0
1,6,6,2,3,19,7,88,59,0
1,7,6,5,4,9,3,144,134,0
0,6,4,7,6,6,9,97,110,0
1,6,6,3,7,17,14,159,138,0
0,6,6,3,7,8,13,121,132,0
1,6,6,3,3,9,1,142,117,0
0,6,7,7,5,5,0,113,142,0
1,7,7,5,6,22,15,164,160,0
0,6,6,4,7,11,15,149,151,0
0,4,6,6,3,14,19,126,136,0
1,7,6,6,4,11,9,130,117,0
1,6,6,4,3,15,10,87,69,0
0,4,4,6,6,7,13,95,91,0
1,6,6,4,1,5,8,93,57,0
0,2,1,6,6,6,11,72,103,0
0,6,6,7,3,12,2,156,146,0
0,6,6,4,7,15,7,156,171,0
1,7,6,6,4,14,9,110,88,0
0,4,3,6,6,12,16,123,139,0
1,7,6,6,1,13,12,143,112,0
0,4,6,6,7,6,8,93,108,0
1,6,6,2,2,5,2,106,68,0
1,4,6,6,3,12,28,162,152,0
1,6,6,7,7,32,24,188,159,0
0,3,3,6,6,2,15,95,117,0
1,7,6,6,4,27,6,116,101,0
0,1,1,6,6,7,5,68,104,0
0,4,6,6,2,12,6,165,158,0
0,6,5,7,7,5,13,92,117,0
1,6,6,2,4,7,4,91,61,0
0,3,3,6,6,5,6,71,93,0
1,7,6,5,4,9,10,108,86,0
1,2,7,6,5,16,4,140,137,0
0,2,6,6,7,8,2,87,111,0
1,7,6,5,2,17,3,98,63,0
1,3,4,6,6,27,8,164,162,0
1,6,6,4,2,13,5,93,58,0
0,2,2,6,6,3,6,66,98,0
1,7,6,6,4,17,7,94,79,0
1,6,7,0,6,7,6,105,75,0
1,7,6,6,4,6,8,106,84,0
0,2,1,6,6,13,4,65,96,0
0,3,6,6,3,21,15,107,128,0
0,5,1,7,6,1,3,56,93,0
1,6,6,1,2,2,10,107,70,0
0,3,0,6,6,3,7,55,96,0
1,6,7,3,6,14,1,118,96,0
0,7,5,6,7,4,3,118,153,0
1,6,6,2,2,4,16,92,66,0
0,3,5,6,7,8,7,72,100,0
1,6,6,1,2,8,3,137,103,0
1,6,3,3,6,11,5,114,100,0
1,7,7,6,5,12,2,129,110,0
1,2,6,6,4,17,7,153,161,0
1,6,6,1,4,10,2,128,119,0
0,3,4,6,6,9,10,121,147,0
1,3,7,6,6,3,16,147,132,0
0,3,7,6,6,21,18,142,143,0
1,7,6,6,3,3,8,105,86,0
0,3,2,6,6,1,19,88,116,0
1,6,6,2,1,6,1,58,31,1
1,2,6,6,2,7,0,78,74,1
0,0,1,6,6,3,5,37,64,1
0,5,6,7,3,8,6,88,102,1
1,6,6,3,4,6,1,74,60,1
1,6,6,3,2,5,3,68,44,1
1,6,6,0,0,0,2,52,25,1
0,4,4,6,6,2,3,61,73,1
0,4,3,6,6,3,0,56,67,1
0,2,7,6,6,0,11,113,135,1
1,6,6,2,2,0,2,67,40,1
0,3,0,6,6,2,7,27,54,1
1,7,6,5,1,1,1,82,64,1
0,6,6,7,7,5,7,78,82,1
1,6,6,3,2,4,1,65,49,1
1,6,6,2,0,3,0,61,36,1
1,6,4,4,6,5,1,94,87,1
0,3,1,6,6,1,9,37,58,1
0,5,6,7,3,6,3,82,92,1
1,2,6,6,4,1,5,97,103,1
0,3,1,6,6,0,3,41,60,1
0,4,1,6,6,2,1,49,61,1
0,2,1,6,6,2,7,51,75,1
1,6,0,3,6,6,2,81,80,1
0,2,6,6,7,3,3,77,93,1
0,6,3,7,6,3,6,87,95,1
1,6,6,2,2,4,2,57,34,1
1,6,6,0,2,2,1,66,41,1
1,6,6,2,4,8,0,68,48,1
0,6,3,7,6,2,2,68,77,1
1,6,1,2,6,4,3,92,80,1
1,6,6,1,2,6,1,59,36,1
0,2,6,6,7,4,6,68,75,1
1,7,4,5,6,1,3,103,96,1
0,2,3,6,6,1,4,48,66,1
0,4,6,6,7,5,6,78,83,1
1,6,6,2,4,1,2,72,58,1
0,6,3,2,6,1,3,92,93,1
0,0,1,6,6,1,3,24,52,1
1,6,6,3,2,0,1,61,42,1
1,7,4,5,6,3,2,109,94,1
0,5,5,7,7,3,7,61,76,1
0,3,4,6,6,5,0,57,72,1
1,4,6,6,1,5,2,97,81,1
0,4,2,6,6,2,4,56,69,1
0,3,4,6,6,4,5,65,77,1
1,6,5,0,7,9,0,96,76,1
1,6,7,0,6,10,1,78,62,1
0,1,4,6,6,1,0,47,62,1
0,6,4,7,6,3,3,84,93,1
0,2,6,6,2,6,5,69,85,1
0,6,4,4,6,8,5,120,126,1
1,7,6,5,4,4,0,77,66,1
1,7,6,6,3,1,3,82,61,1
0,6,6,3,7,4,5,99,97,1
1,6,6,3,3,2,4,66,47,1
1,6,6,3,3,5,1,65,53,1
1,6,6,7,1,0,2,100,81,1
0,6,4,7,6,2,1,71,80,1
0,1,6,6,4,1,5,75,95,1
0,6,2,7,6,2,0,59,80,1
1,6,6,1,2,10,2,61,37,1
0,3,6,6,3,11,9,123,129,1
1,6,6,2,0,4,1,58,30,1
0,1,2,6,6,0,2,35,57,1
1,7,1,6,6,0,3,102,109,1
1,6,6,3,0,1,0,61,38,1
1,6,7,2,6,4,2,84,71,1
1,7,2,5,6,0,6,94,98,1
1,6,7,0,6,4,2,67,53,1
0,7,3,6,6,9,6,90,113,1
1,6,7,2,5,4,0,74,55,1
1,2,6,6,2,0,10,87,76,1
1,6,6,4,2,3,4,65,47,1
0,1,1,6,6,3,4,36,60,1
1,6,6,3,4,9,5,67,50,1
1,4,6,6,3,3,4,92,94,1
1,6,6,2,0,9,1,53,26,1
1,6,6,4,3,0,4,59,51,1
0,4,0,6,6,2,1,46,66,1
0,6,0,4,6,1,0,66,90,1
1,7,3,6,6,0,3,126,121,1
0,0,1,6,6,3,0,30,55,1
1,6,4,3,6,1,0,103,92,1
1,3,6,6,4,3,2,112,124,1
1,6,7,0,5,1,0,63,43,1
0,2,2,6,6,2,5,42,65,1
1,6,6,3,3,6,1,66,45,1
0,0,6,6,1,3,2,61,70,1
1,3,6,6,2,3,3,92,87,1
0,4,5,6,7,5,7,65,76,1
0,1,4,6,6,1,0,50,65,1
1,6,6,3,3,10,2,60,48,1
0,7,4,6,6,3,6,93,107,1
0,2,4,6,6,0,1,45,64,1
1,6,6,2,2,4,0,67,43,1
1,1,7,6,6,5,2,99,99,1
1,6,6,4,4,2,1,65,56,1
1,6,6,3,4,4,0,64,48,1
1,6,7,1,5,3,4,70,55,1
1,6,7,4,5,1,0,72,63,1
0,1,4,6,6,0,1,42,62,1
0,1,0,6,6,0,1,26,56,1
1,5,6,7,2,5,0,96,78,1
1,4,7,6,5,5,2,96,93,1
1,7,6,5,4,1,0,68,61,1
0,6,3,4,6,13,1,79,91,1
0,7,2,6,6,0,6,68,94,1
1,6,6,2,0,1,0,55,31,1
0,1,6,6,4,1,8,77,98,1
0,4,6,6,2,2,0,69,81,1
1,3,6,6,4,1,3,87,77,1
1,6,6,1,3,2,3,76,49,1
0,3,2,6,6,0,3,55,74,1
0,7,5,5,7,1,2,104,113,1
1,6,6,2,2,1,3,62,37,1
0,3,0,6,6,2,0,32,54,1
1,6,5,1,7,1,0,94,74,1
0,2,4,6,6,2,4,49,71,1
1,6,6,1,2,0,2,63,40,1
1,7,6,6,0,2,0,75,58,1
0,2,2,6,6,1,10,50,88,0
1,6,6,3,3,7,0,120,106,0
1,6,6,3,3,4,6,140,139,0
1,7,6,6,3,14,13,163,149,0
0,3,4,6,6,4,10,72,93,0
1,6,5,2,7,4,5,130,93,0
0,3,6,6,2,5,5,160,175,0
1,3,1,6,6,7,4,136,120,0
0,1,2,6,6,0,5,54,92,0
0,6,6,7,7,5,10,132,130,0
1,6,6,4,2,12,3,91,59,0
0,6,6,4,4,2,12,174,177,0
0,4,2,6,6,7,10,85,108,0
1,6,6,3,4,6,8,100,75,0
1,6,4,4,6,11,7,172,163,0
1,6,6,2,2,5,4,93,63,0
0,4,3,6,6,1,3,76,98,0
0,4,6,6,3,5,5,118,142,0
1,6,6,1,3,7,3,87,57,0
0,5,6,7,2,7,12,132,122,0
0,3,5,6,7,0,13,89,115,0
0,6,6,7,2,9,14,132,132,0
0,4,6,6,4,3,17,112,131,0
1,6,6,2,1,16,8,116,87,0
0,6,4,4,6,8,13,99,113,0
0,2,6,6,4,1,6,83,111,0
1,6,6,2,2,1,3,89,50,0
1,6,6,7,4,8,11,171,154,0
0,3,2,6,6,3,6,58,95,0
1,6,6,4,3,16,5,94,71,0
1,6,7,1,6,7,1,97,74,0
0,6,4,7,6,11,26,174,189,0
0,1,4,6,6,1,3,57,88,0
1,6,6,3,7,13,19,151,134,0
0,3,4,6,6,1,3,75,96,0
0,6,3,4,6,6,7,87,101,0
0,6,5,7,7,5,17,94,113,0
0,4,6,6,7,7,8,125,131,0
0,6,4,7,6,21,10,141,135,0
1,7,6,5,3,9,7,146,135,0
0,3,2,6,6,1,2,49,86,0
1,6,6,1,4,12,4,92,62,0
1,6,5,4,7,4,4,90,85,0
1,3,7,6,6,6,2,101,104,0
0,3,5,6,7,4,10,106,125,0
0,3,4,6,6,3,7,82,97,0
1,3,6,6,3,7,3,92,81,0
1,4,7,6,6,2,10,140,115,0
1,6,6,2,3,4,1,89,58,0
1,6,6,7,1,8,2,122,97,0
1,4,6,6,4,11,2,153,127,0
0,3,4,6,6,3,14,83,97,0
0,3,4,6,6,4,6,94,111,0
1,6,6,2,2,4,0,97,66,0
1,7,6,6,1,6,2,101,78,0
0,6,6,7,1,8,7,120,132,0
0,4,4,6,6,4,4,57,78,0
0,5,6,7,7,6,5,91,103,0
0,6,4,7,6,14,8,116,119,0
0,4,0,6,1,1,2,38,48,0
0,1,6,6,7,5,8,84,109,0
0,6,4,4,6,21,4,172,179,0
1,7,6,6,4,5,7,114,99,0
0,2,1,6,6,2,3,52,88,0
1,7,7,6,5,5,5,174,183,0
0,4,5,6,7,3,8,88,107,0
1,6,6,7,1,4,2,126,89,0
0,4,2,6,6,3,8,57,92,0
0,6,6,4,7,1,14,162,180,0
0,1,5,6,7,1,11,80,101,0
1,7,6,6,4,8,1,106,83,0
0,2,1,6,6,3,3,63,96,0
1,3,6,6,3,17,10,126,112,0
0,7,1,6,6,3,14,120,148,0
1,7,3,5,6,24,14,144,127,0
0,2,4,6,6,4,9,81,95,0
1,6,7,0,6,14,7,176,157,0
0,7,6,6,4,9,12,132,157,0
1,6,6,7,4,8,3,139,132,0
0,3,3,6,6,3,9,53,92,0
0,4,5,6,7,3,2,80,102,0
0,4,6,6,4,1,5,115,124,0
1,6,7,2,6,19,4,111,90,0
0,1,7,6,5,5,4,110,135,0
1,7,6,6,2,9,1,102,82,0
0,2,6,6,7,8,7,105,131,0
1,4,6,6,3,5,6,113,90,0
0,6,1,7,6,10,9,187,194,0
1,6,6,3,7,5,2,152,136,0
0,7,7,5,6,9,15,160,183,0
1,7,6,6,2,11,4,116,96,0
0,4,6,6,6,6,6,62,66,0
0,1,6,6,7,1,5,71,103,0
1,6,6,2,0,1,1,93,58,0
0,3,4,6,6,2,7,64,98,0
1,2,6,6,3,3,9,133,134,0
1,7,6,6,4,7,6,128,115,0
1,6,6,1,2,6,3,86,60,0
0,1,5,6,7,5,1,80,111,0
0,5,6,7,7,16,8,102,126,0
0,6,0,7,6,6,19,74,107,0
0,6,7,2,6,2,4,154,170,0
0,4,4,6,6,3,5,83,101,0
1,6,6,3,7,9,6,136,116,0
0,3,7,6,6,6,1,119,137,0
1,7,6,6,4,5,3,122,111,0
1,6,6,4,4,3,5,96,77,0
0,7,7,5,6,15,27,224,213,0
0,0,6,6,7,1,6,71,105,0
1,6,6,2,2,2,0,94,61,0
0,1,6,6,4,5,9,131,147,0
1,6,6,3,3,1,5,98,70,0
0,3,1,6,6,5,1,60,97,0
1,6,3,7,6,8,7,169,165,0
1,6,4,7,6,13,10,191,178,0
1,6,6,4,1,1,0,91,65,0
1,6,6,1,1,2,0,82,54,0
1,4,6,6,3,2,4,134,123,0
1,7,6,5,3,2,0,103,73,0
0,2,1,6,6,2,1,46,84,0
1,6,6,2,3,5,3,96,64,0
1,6,7,3,6,11,4,116,84,0
1,6,7,1,6,3,6,107,84,0
0,4,6,6,3,5,6,158,177,0
1,6,6,3,2,5,1,100,72,0
0,2,1,6,6,0,4,31,57,1
1,6,7,1,6,3,1,71,48,1
1,6,6,4,1,1,0,70,56,1
0,4,3,6,6,2,0,66,78,1
1,6,6,3,0,6,1,56,30,1
1,6,6,1,4,1,1,67,46,1
0,0,2,6,6,0,1,33,60,1
1,6,7,0,5,3,0,77,49,1
0,6,5,4,7,9,7,88,99,1
1,6,7,4,6,4,1,90,80,1
1,7,3,6,6,7,4,125,130,1
1,7,2,6,6,6,1,102,102,1
1,6,6,4,2,2,1,68,57,1
1,6,4,3,6,5,1,94,87,1
0,1,4,6,6,2,4,47,63,1
0,2,1,6,6,2,1,40,62,1
0,6,4,2,6,1,5,81,92,1
0,0,6,6,7,1,4,51,79,1
0,2,0,6,6,0,3,38,65,1
1,7,4,6,6,4,1,129,131,1
0,0,1,6,6,0,2,33,60,1
1,7,2,5,6,4,5,103,97,1
1,6,2,4,6,4,4,96,91,1
0,6,2,7,6,1,2,59,80,1
0,0,6,6,3,4,0,61,84,1
0,3,6,6,4,5,3,73,89,1
1,6,6,4,1,0,1,71,51,1
0,2,3,6,6,0,3,45,61,1
1,6,7,2,5,0,2,72,50,1
1,6,6,3,4,4,1,73,60,1
0,6,2,3,6,1,0,79,92,1
0,3,4,6,6,4,5,47,60,1
1,6,6,3,2,5,0,59,46,1
0,6,5,3,7,12,4,99,103,1
0,1,6,6,3,1,3,81,100,1
1,7,6,6,4,3,1,89,84,1
0,6,0,7,6,10,0,73,90,1
1,7,6,5,1,2,1,69,47,1
1,6,6,3,4,1,1,62,56,1
1,6,6,1,1,1,1,58,32,1
0,6,2,7,6,1,2,77,81,1
1,7,2,6,6,0,2,104,106,1
0,3,6,6,4,2,2,81,99,1
1,6,6,1,2,5,3,63,38,1
1,6,6,4,2,3,1,73,56,1
0,0,1,6,6,0,2,30,59,1
0,3,2,6,6,3,1,39,59,1
1,6,6,3,2,3,4,66,43,1
0,3,0,6,6,5,0,32,58,1
1,4,6,6,4,3,1,97,92,1
1,4,7,6,6,3,2,108,104,1
0,7,5,5,7,3,3,96,108,1
0,3,4,6,6,0,4,50,64,1
1,6,6,0,1,8,0,56,22,1
0,2,2,6,4,0,1,43,56,1
0,3,1,6,6,1,0,46,65,1
0,1,3,6,6,0,1,36,57,1
0,2,6,6,2,2,2,88,90,1
0,4,3,6,6,6,0,64,74,1
1,6,6,3,0,3,0,58,34,1
0,5,2,7,6,0,1,52,69,1
1,6,6,4,3,4,0,66,49,1
0,4,3,6,6,1,1,54,67,1
1,6,6,1,3,2,0,62,42,1
1,6,4,1,6,1,1,110,98,1
1,7,7,6,5,0,2,89,82,1
1,6,7,4,6,1,0,81,72,1
0,7,3,5,6,3,3,88,97,1
1,6,6,4,0,2,0,62,45,1
0,6,4,3,6,2,1,91,98,1
1,6,7,4,6,1,4,79,68,1
0,6,2,4,6,1,0,87,105,1
1,6,6,3,3,1,0,70,55,1
1,6,6,3,2,2,1,61,40,1
0,2,2,6,6,1,1,38,63,1
1,7,6,6,1,1,0,71,56,1
0,6,2,1,6,4,1,72,79,1
0,6,3,7,6,1,3,62,72,1
0,4,6,6,4,4,1,76,86,1
0,5,6,7,2,5,5,97,96,1
0,1,4,6,6,1,1,45,60,1
1,6,6,1,2,6,2,60,32,1
0,1,5,6,7,0,3,58,76,1
0,4,7,6,6,4,2,93,102,1
1,3,6,6,3,4,2,90,87,1
0,1,6,6,7,2,4,57,73,1
0,6,3,4,6,3,0,84,99,1
0,2,1,6,6,1,0,41,63,1
0,6,5,7,7,0,2,79,91,1
1,4,6,6,1,2,3,88,63,1
0,0,4,6,6,1,1,42,64,1
0,4,5,6,7,1,3,68,82,1
0,3,2,6,6,1,5,48,68,1
1,6,6,3,4,1,1,69,56,1
0,4,7,6,6,1,2,101,110,1
0,4,6,6,7,1,7,64,77,1
0,1,6,6,2,1,4,80,91,1
1,6,6,0,2,3,0,61,33,1
0,4,3,6,6,1,1,54,72,1
0,0,2,6,6,1,2,34,62,1
0,3,0,6,6,2,1,35,61,1
0,5,4,7,6,0,1,75,80,1
1,6,6,2,4,1,1,72,59,1
1,6,4,4,6,3,0,108,100,1
1,6,6,1,3,5,1,64,43,1
0,6,4,0,6,0,1,74,79,1
0,6,2,7,6,2,0,63,73,1
0,4,6,6,7,2,0,72,80,1
1,6,3,1,6,4,1,92,75,1
0,1,6,6,2,3,12,77,87,1
1,6,6,0,1,5,0,52,16,1
1,6,6,4,4,10,2,71,56,1
1,6,6,3,4,7,6,106,83,0
1,6,6,3,3,3,18,99,71,0
0,6,3,7,6,11,10,149,149,0
0,5,6,7,4,13,16,97,121,0
1,6,6,7,2,21,8,148,123,0
0,7,2,6,6,20,6,133,151,0
0,6,3,7,6,8,2,183,187,0
0,3,7,6,6,17,12,82,104,0
0,6,3,3,6,15,10,159,160,0
1,6,7,4,6,4,4,117,103,0
1,6,6,3,2,1,7,87,65,0
0,5,3,7,6,8,11,75,103,0
1,6,6,3,7,9,7,138,119,0
0,6,6,7,3,19,14,149,154,0
0,3,6,6,3,9,9,165,173,0
1,6,6,4,4,8,3,102,80,0
0,3,5,6,7,5,10,144,145,0
0,3,6,6,4,11,7,132,146,0
0,4,2,6,6,11,3,69,94,0
1,6,6,1,2,10,3,91,50,0
1,6,3,3,6,8,18,125,111,0
0,5,5,7,7,5,6,86,111,0
1,3,6,6,3,5,13,145,134,0
1,6,6,4,4,14,7,89,63,0
1,6,7,4,6,4,14,116,90,0
1,6,6,1,0,3,4,86,45,0
1,6,6,4,2,5,1,77,51,0
1,6,6,7,4,10,12,157,137,0
1,6,6,3,1,13,7,112,84,0
1,6,5,4,7,7,14,125,110,0
0,4,6,6,4,7,8,156,170,0
0,2,2,6,6,10,7,112,140,0
0,1,4,6,6,2,10,62,93,0
1,6,6,4,4,5,9,105,82,0
0,3,6,6,7,0,28,87,116,0
0,4,4,6,6,3,9,92,111,0
1,7,3,6,6,6,10,100,91,0
1,6,6,3,2,12,9,103,65,0
0,3,6,6,3,9,5,146,163,0
0,6,4,4,6,8,11,109,135,0
0,6,6,7,4,6,24,117,145,0
1,6,6,0,2,16,1,87,45,0
0,1,2,6,6,1,5,38,81,0
0,3,2,6,6,4,10,57,93,0
0,1,3,6,6,3,10,50,86,0
1,4,3,6,6,3,21,178,176,0
0,5,6,7,2,29,2,191,181,0
1,3,6,6,2,4,8,134,114,0
0,1,6,6,3,5,13,116,132,0
1,6,6,1,2,8,3,90,55,0
0,2,4,6,6,7,6,93,115,0
0,4,4,6,6,6,8,94,115,0
0,5,3,7,6,4,5,96,116,0
0,6,6,7,2,13,8,107,124,0
1,6,4,3,6,8,14,129,110,0
0,3,7,6,6,13,13,133,163,0
1,6,6,2,4,3,2,91,61,0
0,6,4,7,6,5,8,156,157,0
1,6,3,3,6,12,14,138,124,0
0,6,1,4,6,11,5,133,151,0
1,7,6,6,3,7,1,103,88,0
0,7,6,6,3,9,38,170,167,0
1,6,6,4,3,16,0,89,63,0
0,5,6,7,4,10,20,113,126,0
1,6,7,3,5,8,8,112,97,0
0,6,1,7,1,4,3,48,51,0
1,6,7,4,6,23,17,141,140,0
0,1,2,6,6,2,9,79,102,0
0,6,6,7,1,3,7,104,116,0
0,4,4,6,6,1,3,74,102,0
0,4,4,6,6,7,7,91,105,0
0,3,7,6,6,2,10,104,135,0
1,6,6,3,2,6,1,94,58,0
1,7,7,6,6,13,25,157,150,0
1,6,6,4,4,9,4,92,65,0
0,6,3,1,6,8,9,117,125,0
1,7,6,5,2,23,7,130,120,0
0,3,2,6,6,3,13,102,130,0
1,6,6,1,4,16,2,93,67,0
0,2,1,6,6,2,3,46,84,0
1,7,6,6,2,13,6,102,73,0
0,6,3,1,6,9,6,138,145,0
0,6,6,3,7,8,21,173,169,0
1,3,4,6,6,14,11,145,127,0
1,6,6,3,4,15,4,118,101,0
0,5,1,7,6,10,8,84,104,0
1,6,6,3,4,9,15,155,151,0
1,6,5,4,7,10,11,160,151,0
1,7,6,5,1,5,6,117,87,0
0,5,3,7,6,5,10,109,126,0
1,7,6,6,4,5,7,123,114,0
0,4,2,6,6,3,6,62,82,0
1,7,7,5,6,9,12,111,98,0
1,6,6,2,2,10,7,82,53,0
1,6,6,4,3,9,11,98,76,0
0,6,6,7,7,1,11,114,141,0
1,6,2,3,6,14,25,112,99,0
0,7,4,6,6,7,28,113,134,0
0,6,6,3,7,19,18,90,116,0
0,4,3,6,6,4,7,112,136,0
1,6,6,3,0,8,1,90,54,0
1,7,6,6,1,11,8,150,130,0
0,4,6,6,3,26,6,123,123,0
0,4,3,6,6,6,3,63,90,0
1,6,6,0,2,3,2,94,54,0
0,4,6,6,4,10,10,146,147,0
0,3,2,6,6,5,9,95,109,0
0,3,6,6,7,13,11,111,128,0
1,7,6,6,2,7,0,99,74,0
0,3,4,6,6,10,24,134,138,0
1,6,6,3,2,11,16,151,132,0
0,0,3,6,6,5,11,63,93,0
1,6,7,7,6,6,39,195,207,0
0,6,6,7,3,8,13,153,164,0
0,6,3,7,6,5,6,101,110,0
0,7,4,6,6,12,3,112,136,0
1,6,3,3,6,9,8,145,146,0
1,6,6,7,1,5,4,129,114,0
1,3,6,6,1,14,3,127,110,0
1,6,6,3,1,6,5,142,137,0
0,0,2,6,6,3,2,43,82,0
1,6,6,3,2,5,2,115,87,0
0,4,3,6,6,5,4,78,107,0
1,2,7,6,6,9,8,165,165,0
0,4,6,6,7,6,3,84,102,0
0,2,6,6,3,6,1,102,121,0
